artist_name,image_url,source_page_url,source_site,page_title,alt_text,caption_or_context,width,height,confidence,notes
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/1/14/Aktenm%C3%A4ssige_Darstellung_der_Ideen%2C_Handlungen_und_endlichen_Schicksale_des_dimittirten_Predigers_Brumbey_%28microform%29_-_und_seines_Anhangs_zu_Berlin_nebst_einer_kurzen_Geschichte_von_der_%28IA_MN40376ucmf_12%29.pdf,"https://commons.wikimedia.org/wiki/File:Aktenmässige Darstellung der Ideen, Handlungen und endlichen Schicksale des dimittirten Predigers Brumbey (microform) - und seines Anhangs zu Berlin nebst einer kurzen Geschichte von der (IA MN40376ucmf 12).pdf",wikimedia commons,"File:Aktenmässige Darstellung der Ideen, Handlungen und endlichen Schicksale des dimittirten Predigers Brumbey (microform) - und seines Anhangs zu Berlin nebst einer kurzen Geschichte von der (IA MN40376ucmf 12).pdf","File:Aktenmässige Darstellung der Ideen, Handlungen und endlichen Schicksale des dimittirten Predigers Brumbey (microform) - und seines Anhangs zu Berlin nebst einer kurzen Geschichte von der (IA MN40376ucmf 12).pdf",commons search result,487,822,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/f/fd/American_Progress_%28John_Gast_painting%29.jpg,https://commons.wikimedia.org/wiki/File:American Progress (John Gast painting).jpg,wikimedia commons,File:American Progress (John Gast painting).jpg,File:American Progress (John Gast painting).jpg,commons search result,4815,3584,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/0/03/American_Progress_%28John_Gast_painting%29FXD.jpg,https://commons.wikimedia.org/wiki/File:American Progress (John Gast painting)FXD.jpg,wikimedia commons,File:American Progress (John Gast painting)FXD.jpg,File:American Progress (John Gast painting)FXD.jpg,commons search result,4815,3584,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/2/28/Anna_Boleyn_%281920%2C_1080p%2C_silent%29_by_Ernst_Lubitsch.webm,"https://commons.wikimedia.org/wiki/File:Anna Boleyn (1920, 1080p, silent) by Ernst Lubitsch.webm",wikimedia commons,"File:Anna Boleyn (1920, 1080p, silent) by Ernst Lubitsch.webm","File:Anna Boleyn (1920, 1080p, silent) by Ernst Lubitsch.webm",commons search result,1424,1072,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/8/8e/Balloon_Flower_Detail.jpg,https://commons.wikimedia.org/wiki/File:Balloon Flower Detail.jpg,wikimedia commons,File:Balloon Flower Detail.jpg,File:Balloon Flower Detail.jpg,commons search result,3072,2048,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/e/e2/Bayerischer_L%C3%B6we.jpg,https://commons.wikimedia.org/wiki/File:Bayerischer Löwe.jpg,wikimedia commons,File:Bayerischer Löwe.jpg,File:Bayerischer Löwe.jpg,commons search result,3377,2251,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/f/fb/Dolores_California_Gourmet_Burritos.jpg,https://commons.wikimedia.org/wiki/File:Dolores California Gourmet Burritos.jpg,wikimedia commons,File:Dolores California Gourmet Burritos.jpg,File:Dolores California Gourmet Burritos.jpg,commons search result,3072,2304,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/d/de/Frohnau.jpg,https://commons.wikimedia.org/wiki/File:Frohnau.jpg,wikimedia commons,File:Frohnau.jpg,File:Frohnau.jpg,commons search result,748,1000,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/f/f4/Isle_of_Dogs_-_Press_Conference_2.jpg,https://commons.wikimedia.org/wiki/File:Isle of Dogs - Press Conference 2.jpg,wikimedia commons,File:Isle of Dogs - Press Conference 2.jpg,File:Isle of Dogs - Press Conference 2.jpg,commons search result,4038,2271,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/c/ca/Johann_George_Sulzers_Tagebuch_einer_von_Berlin_nach_den_mitt%C3%A4glichen_L%C3%A4ndern_von_Europa_in_den_Jahren_1775_und_1776_gethanen_Reise_und_R%C3%BCckreise_%28IA_johanngeorgesulz00sulz%29.pdf,https://commons.wikimedia.org/wiki/File:Johann George Sulzers Tagebuch einer von Berlin nach den mittäglichen Ländern von Europa in den Jahren 1775 und 1776 gethanen Reise und Rückreise (IA johanngeorgesulz00sulz).pdf,wikimedia commons,File:Johann George Sulzers Tagebuch einer von Berlin nach den mittäglichen Ländern von Europa in den Jahren 1775 und 1776 gethanen Reise und Rückreise (IA johanngeorgesulz00sulz).pdf,File:Johann George Sulzers Tagebuch einer von Berlin nach den mittäglichen Ländern von Europa in den Jahren 1775 und 1776 gethanen Reise und Rückreise (IA johanngeorgesulz00sulz).pdf,commons search result,670,1141,medium,from wikimedia commons search
